reference_number,doi,gender,regimen_of_observation,benefit_measure_of_observation,min_age,max_age,BR_high,BR_low,booster,comment
11,NA,b,primary,prevented hospitaliation,18,29,benefit,comparable,,
11,NA,b,primary,prevented hospitaliation,30,39,benefit,benefit,,
11,NA,b,primary,prevented hospitaliation,40,49,benefit,benefit,,
11,NA,b,primary,prevented hospitaliation,50,59,benefit,benefit,,
11,NA,b,primary,prevented hospitaliation,60,69,benefit,benefit,,
11,NA,b,primary,prevented hospitaliation,70,79,benefit,benefit,,
11,NA,b,primary,prevented hospitaliation,80,120,benefit,benefit,,
12,10.1136/ jme-2022-108852,m,booster,prevented hospitaliation,18,29,comparable,harm,booster,
12,10.1136/ jme-2022-108852,f,booster,prevented hospitaliation,18,29,comparable,comparable,booster,
13,10.1186/s12879-022-07823-3,m,"primary, booster",prevented severe illness,12,15,comparable,comparable,10% have received booster,
13,10.1186/s12879-022-07823-3,m,"primary, booster",prevented severe illness,16,19,benefit,comparable,10% have received booster,
13,10.1186/s12879-022-07823-3,m,"primary, booster",prevented severe illness,20,29,benefit,comparable,10% have received booster,
13,10.1186/s12879-022-07823-3,m,"primary, booster",prevented severe illness,30,120,benefit,benefit,10% have received booster,
13,10.1186/s12879-022-07823-3,f,"primary, booster",prevented severe illness,12,15,benefit,benefit,10% have received booster,
13,10.1186/s12879-022-07823-3,f,"primary, booster",prevented severe illness,16,19,benefit,benefit,10% have received booster,
13,10.1186/s12879-022-07823-3,f,"primary, booster",prevented severe illness,20,29,benefit,benefit,10% have received booster,
13,10.1186/s12879-022-07823-3,f,"primary, booster",prevented severe illness,30,120,benefit,benefit,10% have received booster,
15,NA,b,primary,prevented hospitaliation,20,29,benefit,benefit,,
15,NA,b,primary,prevented hospitaliation,30,39,benefit,benefit,,
15,NA,b,primary,prevented hospitaliation,40,49,benefit,benefit,,
15,NA,b,primary,prevented hospitaliation,50,59,benefit,benefit,,
15,NA,b,primary,prevented hospitaliation,60,69,benefit,benefit,,
15,NA,b,primary,prevented hospitaliation,70,120,benefit,benefit,,
16,NA,b,primary,prevented hospitaliation,20,29,benefit,comparable,,
16,NA,b,primary,prevented hospitaliation,30,39,benefit,comparable,,
16,NA,b,primary,prevented hospitaliation,40,49,benefit,comparable,,
16,NA,b,primary,prevented hospitaliation,50,59,benefit,benefit,,
16,NA,b,primary,prevented hospitaliation,60,69,benefit,benefit,,
16,NA,b,primary,prevented hospitaliation,70,79,benefit,benefit,,
16,NA,b,primary,prevented hospitaliation,80,120,benefit,benefit,,
17,10.1016/j.vaccine.2022.03.030,m,primary,prevented hospitaliation,16,17,benefit,comparable,,
17,10.1016/j.vaccine.2022.03.030,m,primary,prevented hospitaliation,18,24,benefit,benefit,,
17,10.1016/j.vaccine.2022.03.030,m,primary,prevented hospitaliation,25,29,benefit,benefit,,
17,10.1016/j.vaccine.2022.03.030,f,primary,prevented hospitaliation,16,17,benefit,benefit,,
17,10.1016/j.vaccine.2022.03.030,f,primary,prevented hospitaliation,18,24,benefit,benefit,,
17,10.1016/j.vaccine.2022.03.030,f,primary,prevented hospitaliation,25,29,benefit,benefit,,
18,10.1177/01410768211052589,b,primary,prevented hospitaliation,12,17,benefit,comparable,,
19,10.1128/mbio.03789-21,b,primary,prevented hospitaliation,5,11,benefit,benefit,,
22,10.1111/eci.13759,m,primary,prevented hospitaliation,12,15,benefit,harm,,Assuming previous infection. Their estimate of preventive effects by previous infection is based on a small number of samples (2 severe illness among previously infected group compared with 70 among non-infected.)
22,10.1111/eci.13759,m,primary,prevented hospitaliation,16,17,benefit,harm,,Assuming previous infection. Their estimate of preventive effects by previous infection is based on a small number of samples (2 severe illness among previously infected group compared with 70 among non-infected.)
22,10.1111/eci.13759,f,primary,prevented hospitaliation,12,15,benefit,harm,,Assuming previous infection. Their estimate of preventive effects by previous infection is based on a small number of samples (2 severe illness among previously infected group compared with 70 among non-infected.)
22,10.1111/eci.13759,f,primary,prevented hospitaliation,16,17,benefit,harm,,Assuming previous infection. Their estimate of preventive effects by previous infection is based on a small number of samples (2 severe illness among previously infected group compared with 70 among non-infected.)
23,10.1016/j.vaccine.2021.10.079,m,primary,prevented severe illness,0,49,benefit,benefit,,"AstraZeneca. 70% have received the first dose, 35 have received the second dose. "
23,10.1016/j.vaccine.2021.10.079,m,primary,prevented severe illness,50,59,benefit,benefit,,"AstraZeneca. 70% have received the first dose, 35 have received the second dose. "
23,10.1016/j.vaccine.2021.10.079,m,primary,prevented severe illness,60,69,benefit,benefit,,"AstraZeneca. 70% have received the first dose, 35 have received the second dose. "
23,10.1016/j.vaccine.2021.10.079,m,primary,prevented severe illness,70,120,benefit,benefit,,"AstraZeneca. 70% have received the first dose, 35 have received the second dose. "
23,10.1016/j.vaccine.2021.10.079,f,primary,prevented severe illness,0,49,benefit,benefit,,"AstraZeneca. 70% have received the first dose, 35 have received the second dose. "
23,10.1016/j.vaccine.2021.10.079,f,primary,prevented severe illness,50,59,benefit,benefit,,"AstraZeneca. 70% have received the first dose, 35 have received the second dose. "
23,10.1016/j.vaccine.2021.10.079,f,primary,prevented severe illness,60,69,benefit,benefit,,"AstraZeneca. 70% have received the first dose, 35 have received the second dose. "
23,10.1016/j.vaccine.2021.10.079,f,primary,prevented severe illness,70,120,benefit,benefit,,"AstraZeneca. 70% have received the first dose, 35 have received the second dose. "
26,10.1016/j.vaccine.2021.07.013,b,primary,prevented death,18,59,benefit,harm,,AstraZenece. 80% have received the first dose. The low benefit-risk balance is because COVID infection in Australia throughout 2020 was very low. 
31,10.1016/j.prrv.2022.03.002,m,primary,prevented severe illness,12,19,benefit,benefit,,"80% of > 16 years old have received at least one dose; 57% and 47% of 12-15 years old have received one and two doses, respectively. "
31,10.1016/j.prrv.2022.03.002,m,primary,prevented severe illness,20,29,benefit,benefit,,"80% of > 16 years old have received at least one dose; 57% and 47% of 12-15 years old have received one and two doses, respectively. "
31,10.1016/j.prrv.2022.03.002,m,primary,prevented severe illness,30,120,benefit,benefit,,"80% of > 16 years old have received at least one dose; 57% and 47% of 12-15 years old have received one and two doses, respectively. "
31,10.1016/j.prrv.2022.03.002,f,primary,prevented severe illness,12,19,benefit,benefit,,"80% of > 16 years old have received at least one dose; 57% and 47% of 12-15 years old have received one and two doses, respectively. "
31,10.1016/j.prrv.2022.03.002,f,primary,prevented severe illness,20,29,benefit,benefit,,"80% of > 16 years old have received at least one dose; 57% and 47% of 12-15 years old have received one and two doses, respectively. "
31,10.1016/j.prrv.2022.03.002,f,primary,prevented severe illness,30,120,benefit,benefit,,"80% of > 16 years old have received at least one dose; 57% and 47% of 12-15 years old have received one and two doses, respectively. "
33,NA,m,primary,prevented hospitaliation,18,49,benefit,benefit,,
33,NA,m,primary,prevented hospitaliation,50,64,benefit,benefit,,
33,NA,m,primary,prevented hospitaliation,65,120,benefit,benefit,,
33,NA,f,primary,prevented hospitaliation,18,49,benefit,benefit,,
33,NA,f,primary,prevented hospitaliation,50,64,benefit,benefit,,
33,NA,f,primary,prevented hospitaliation,65,120,benefit,benefit,,
34,10.1016/j.lanepe.2022.100412,m,primary,prevented MIS-C,12,17,benefit,benefit,,
34,10.1016/j.lanepe.2022.100412,f,primary,prevented MIS-C,12,17,benefit,benefit,,
35,10.3390/vaccines9060618,b,primary,prevented death,18,24,benefit,harm,,
35,10.3390/vaccines9060618,b,primary,prevented death,25,49,benefit,benefit,,
35,10.3390/vaccines9060618,b,primary,prevented death,50,59,benefit,benefit,,
36,NA,m,primary,prevented hospitaliation,18,29,benefit,benefit,,
36,NA,m,primary,prevented hospitaliation,30,49,benefit,benefit,,
36,NA,m,primary,prevented hospitaliation,50,64,benefit,benefit,,
36,NA,m,primary,prevented hospitaliation,65,120,benefit,benefit,,
36,NA,f,primary,prevented hospitaliation,18,29,benefit,benefit,,
36,NA,f,primary,prevented hospitaliation,30,49,benefit,benefit,,
36,NA,f,primary,prevented hospitaliation,50,64,benefit,benefit,,
36,NA,f,primary,prevented hospitaliation,65,120,benefit,benefit,,
37,NA,m,primary,prevented hospitaliation,16,17,benefit,benefit,,
37,NA,m,primary,prevented hospitaliation,18,24,benefit,benefit,,
37,NA,m,primary,prevented hospitaliation,25,29,benefit,benefit,,
37,NA,f,primary,prevented hospitaliation,16,17,benefit,benefit,,
37,NA,f,primary,prevented hospitaliation,18,24,benefit,benefit,,
37,NA,f,primary,prevented hospitaliation,25,29,benefit,benefit,,
38,10.3390/vaccines 10020140,b,"primary, booster",prevented severe illness,10,19,benefit,comparable,,
38,10.3390/vaccines 10020140,b,"primary, booster",prevented severe illness,20,29,benefit,comparable,,
38,10.3390/vaccines 10020140,b,"primary, booster",prevented severe illness,30,39,benefit,benefit,,
38,10.3390/vaccines 10020140,b,"primary, booster",prevented severe illness,40,49,benefit,benefit,,
38,10.3390/vaccines 10020140,b,"primary, booster",prevented severe illness,50,59,benefit,benefit,,
38,10.3390/vaccines 10020140,b,"primary, booster",prevented severe illness,60,69,benefit,benefit,,
38,10.3390/vaccines 10020140,b,"primary, booster",prevented severe illness,70,79,benefit,benefit,,
38,10.3390/vaccines 10020140,b,"primary, booster",prevented severe illness,80,120,benefit,benefit,,
39,10.1038/s41541-022-00517-6,m,"primary, booster",prevented myocarditis,12,19,benefit,comparable,,
39,10.1038/s41541-022-00517-6,m,"primary, booster",prevented myocarditis,20,29,benefit,comparable,,
39,10.1038/s41541-022-00517-6,m,"primary, booster",prevented myocarditis,30,39,benefit,benefit,,
39,10.1038/s41541-022-00517-6,m,"primary, booster",prevented myocarditis,40,49,benefit,benefit,,
39,10.1038/s41541-022-00517-6,m,"primary, booster",prevented myocarditis,50,59,benefit,benefit,,
39,10.1038/s41541-022-00517-6,m,"primary, booster",prevented myocarditis,60,69,benefit,benefit,,
39,10.1038/s41541-022-00517-6,m,"primary, booster",prevented myocarditis,70,120,benefit,benefit,,
39,10.1038/s41541-022-00517-6,f,"primary, booster",prevented myocarditis,12,19,benefit,comparable,,
39,10.1038/s41541-022-00517-6,f,"primary, booster",prevented myocarditis,20,29,benefit,benefit,,
39,10.1038/s41541-022-00517-6,f,"primary, booster",prevented myocarditis,30,39,benefit,benefit,,
39,10.1038/s41541-022-00517-6,f,"primary, booster",prevented myocarditis,40,49,benefit,benefit,,
39,10.1038/s41541-022-00517-6,f,"primary, booster",prevented myocarditis,50,59,benefit,benefit,,
39,10.1038/s41541-022-00517-6,f,"primary, booster",prevented myocarditis,60,69,benefit,benefit,,
39,10.1038/s41541-022-00517-6,f,"primary, booster",prevented myocarditis,70,120,benefit,benefit,,
42,10.2807/1560-7917.ES.2021.26.26.2100533,b,primary,prevented death,18,29,comparable,harm,,
42,10.2807/1560-7917.ES.2021.26.26.2100533,b,primary,prevented death,30,39,comparable,comparable,,
42,10.2807/1560-7917.ES.2021.26.26.2100533,b,primary,prevented death,40,44,comparable,comparable,,
42,10.2807/1560-7917.ES.2021.26.26.2100533,b,primary,prevented death,45,49,benefit,comparable,,
42,10.2807/1560-7917.ES.2021.26.26.2100533,b,primary,prevented death,50,54,benefit,benefit,,
42,10.2807/1560-7917.ES.2021.26.26.2100533,b,primary,prevented death,55,59,benefit,benefit,,
42,10.2807/1560-7917.ES.2021.26.26.2100533,b,primary,prevented death,60,64,benefit,benefit,,
42,10.2807/1560-7917.ES.2021.26.26.2100533,b,primary,prevented death,65,69,benefit,benefit,,
42,10.2807/1560-7917.ES.2021.26.26.2100533,b,primary,prevented death,70,120,benefit,benefit,,
43,NA,m,primary,prevented hospitaliation,12,17,benefit,benefit,,
43,NA,m,primary,prevented hospitaliation,18,24,benefit,benefit,,
43,NA,m,primary,prevented hospitaliation,25,29,benefit,benefit,,
43,NA,m,primary,prevented hospitaliation,30,39,benefit,benefit,,
43,NA,m,primary,prevented hospitaliation,40,49,benefit,benefit,,
43,NA,m,primary,prevented hospitaliation,50,64,benefit,benefit,,
43,NA,m,primary,prevented hospitaliation,65,120,benefit,benefit,,
43,NA,f,primary,prevented hospitaliation,12,17,benefit,benefit,,
43,NA,f,primary,prevented hospitaliation,18,24,benefit,benefit,,
